ID	Category	Name	Priority	Price	Description	exclusivePlan	2 Surface	3 Surface	4 Surface	5 Surface	In Old
TEETH_WHIT	Teeth Whitening	Boutique Whitening Treatment (4-6 Shades Lighter)	TRUE	295	Professional whitening treatment to lighten teeth by 4-6 shades.	10% off					1
	Teeth Whitening	Boutique Whitening B1 Shade Guaranteed Kit	TRUE	550	Guaranteed B1 shade whitening kit with professional supervision.	10% off					
	Teeth Whitening	Replacement Whitening Trays Only		160	Replacement custom whitening trays (no gel).	10% off					
	Teeth Whitening	Single Syringes For Maintenance		40	Individual whitening syringes for ongoing maintenance.	10% off					
	ClearCorrect & Retainers	Clearcorrect Consultation Including Digital Scanning	TRUE	0	Initial consultation with digital scanning to evaluate eligibility for ClearCorrect treatment.	None					
CLEAR_ALIGN	ClearCorrect & Retainers	Clearcorrect Bronze	TRUE	2750	Up to 12 clear aligners for upper and lower teeth,1 set of night time retainers, includes consultation, simulation and OPG.	None					
	ClearCorrect & Retainers	Clearcorrect Silver	TRUE	3500	Up to 30 clear aligners for upper and lower teeth,1 refinement,1 set of night time retainers, includes consultation, simulation and OPG.	None					
	ClearCorrect & Retainers	Clearcorrect Gold	TRUE	4350	Unlimited clear aligners,2 sets of night time retainers, teeth whitening, includes consultation, simulation and OPG.	None					
	ClearCorrect & Retainers	Clearcorrect Platinum	TRUE	4675	Unlimited clear aligners,2 night retainers, fixed retainers (upper/lower), composite edge bonding, teeth whitening; includes consultation, simulation and OPG.	None					
	ClearCorrect & Retainers	Bonded Retainer Per Arch		280	Permanent bonded retainer for a single arch (upper or lower).	None					
	ClearCorrect & Retainers	Removable Retainers (1 Set Upper And Lower)		330	Set of removable retainers for both upper and lower arches.	None					
	ClearCorrect & Retainers	Removable Retainers (1 Retainer Upper or Lower)		190	Single removable retainer for either upper or lower arch.	None					
	ClearCorrect & Retainers	Replacement Retainers For Clearcorrect Patients (2 Sets Upper And Lower)		330	Replacement package for ClearCorrect patients: 2 sets of upper and lower retainers.	None					
	ClearCorrect & Retainers	Smilefast Add-On For Clearcorrect Patients		60	Free smile design worth £60 for ClearCorrect patients (as part of Smilefast).	None					1
VENEER_COMP	Veneers	Veneer Composite	TRUE	375							1
VENEER_PORC	Veneers	Veneer Porcelain	TRUE	650							1
VENEER_BOND	Veneers	Veneer Bonding									
	Gold	Gold Filling	TRUE	170.6			175.6	201	234.1	251.3	1
	Gold	Full Gold Crown	TRUE	950							1
	Gold	Gold Inlay	TRUE	251.3			251.3	292.3	334.6	377	1
	Gold	Gold Pontic		953.6							1
	Gold	Gold Retainer	TRUE	334.6							1
	Gold	Gold Onlay		600							1
